Location,Last location,Next location,FullEmpty,With customer,ContainerType,ContainerSize,Owner,count
CA DAR,,,Empty,False,22G1,20.0,CARRIER,1
CA DAR,,,Empty,False,45R1,40.0,CARRIER,1
CA HAL,,,Empty,False,22G1,20.0,CARRIER,1
CA HAL,,,Empty,False,22K0,20.0,SHIPPER,1
CA HAL,,,Empty,False,42G1,40.0,SHIPPER,1
CA HAL,,,Empty,False,42P3,40.0,CARRIER,1
CA HAL,,,Empty,False,45G1,40.0,CARRIER,1
CA HAL,,,Empty,False,45G1,40.0,SHIPPER,1
CA HAL,,,Empty,False,45R1,40.0,CARRIER,1
CA HAL,,,Empty,False,45R1,40.0,ONEWAY,1
CA HAL,,,Empty,False,45U1,40.0,CARRIER,1
CA HAL,,,Empty,False,4EG1,40.0,CARRIER,1
CA HAL,,,Empty,True,45G1,40.0,CARRIER,1
CA HAL,,,Empty,True,45R1,40.0,CARRIER,1
CA HAL,,,Full,False,22G1,20.0,CARRIER,1
CA HAL,,,Full,False,22G1,20.0,SHIPPER,1
CA HAL,,,Full,False,22K0,20.0,SHIPPER,1
CA HAL,,,Full,False,25G1,20.0,SHIPPER,1
CA HAL,,,Full,False,42P3,40.0,CARRIER,1
CA HAL,,,Full,False,42U1,40.0,CARRIER,1
CA HAL,,,Full,False,42U1,40.0,SHIPPER,1
CA HAL,,,Full,False,45G1,40.0,CARRIER,2
CA HAL,,,Full,False,45G1,40.0,SHIPPER,1
CA HAL,,,Full,False,45P3,40.0,CARRIER,1
CA HAL,,,Full,False,45R1,40.0,CARRIER,7
CA HAL,,,Full,False,45U1,40.0,CARRIER,1
CA HAL,,,Full,False,LEG1,45.0,SHIPPER,1
CA HAL,,,Full,False,,,,1
CA HAL,,,Full,True,22G1,20.0,CARRIER,1
CA HAL,,,Full,True,45G1,40.0,CARRIER,1
CA HAL,,,Full,True,45R1,40.0,CARRIER,1
CA HAL,,,Full,True,45R1,40.0,ONEWAY,1
CA MTR,,,Empty,False,45R1,40.0,CARRIER,1
CA NWP,,,Empty,False,22G1,20.0,CARRIER,3
CA NWP,,,Empty,False,22U1,20.0,CARRIER,1
CA NWP,,,Empty,False,42P3,40.0,CARRIER,1
CA NWP,,,Empty,False,42U1,40.0,CARRIER,1
CA NWP,,,Empty,False,45G1,40.0,CARRIER,1
CA NWP,,,Empty,False,45GB,40.0,CARRIER,1
CA NWP,,,Empty,False,45P3,40.0,CARRIER,1
CA NWP,,,Empty,False,45R1,40.0,CARRIER,3
CA NWP,,,Empty,False,45U1,40.0,CARRIER,1
CA NWP,,,Empty,True,22G1,20.0,CARRIER,1
CA NWP,,,Empty,True,45G1,40.0,CARRIER,2
CA NWP,,,Full,False,22G1,20.0,CARRIER,5
CA NWP,,,Full,False,22G1,20.0,SHIPPER,1
CA NWP,,,Full,False,22GB,20.0,CARRIER,1
CA NWP,,,Full,False,22R1,20.0,SHIPPER,1
CA NWP,,,Full,False,22U1,20.0,SHIPPER,1
CA NWP,,,Full,False,42P3,40.0,CARRIER,1
CA NWP,,,Full,False,42P3,40.0,SHIPPER,1
CA NWP,,,Full,False,42U1,40.0,CARRIER,1
CA NWP,,,Full,False,42U1,40.0,SHIPPER,1
CA NWP,,,Full,False,45G1,40.0,CARRIER,3
CA NWP,,,Full,False,45G1,40.0,ONEWAY,1
CA NWP,,,Full,False,45G1,40.0,SHIPPER,1
CA NWP,,,Full,False,45H5,40.0,SHIPPER,1
CA NWP,,,Full,False,45P3,40.0,CARRIER,1
CA NWP,,,Full,False,45R1,40.0,CARRIER,2
CA NWP,,,Full,False,45U1,40.0,CARRIER,1
CA NWP,,,Full,False,4EG1,40.0,CARRIER,1
CA NWP,,,Full,True,22G1,20.0,CARRIER,1
CA NWP,,,Full,True,42P3,40.0,CARRIER,1
CA NWP,,,Full,True,42U1,40.0,CARRIER,1
CA NWP,,,Full,True,45G1,40.0,CARRIER,1
CA NWP,,,Full,True,4EG1,40.0,CARRIER,1
CH BSL,,,Empty,False,45G1,40.0,CARRIER,1
CN QDG,,,Empty,False,45G1,40.0,CARRIER,1
CN QDG,,,Empty,False,45R1,40.0,CARRIER,3
DE AGB,,,Empty,False,45G1,40.0,CARRIER,1
DE BRE,,,Empty,False,42U1,40.0,CARRIER,1
DE BRE,,,Empty,False,45G1,40.0,CARRIER,3
DE BRE,,,Empty,False,4EG1,40.0,CARRIER,1
