Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,ContractType,Count,Truncated,FinalDestination,Commodity
2025,2,IS REY,264,GB TEE,426,22G1,20.0,LEASED,MASTER,1,False,GB TEE,k120_22G1_20_LEASED
2025,2,IS REY,231,IS RFJ,253,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS RFJ,k121_45R1_40_CARRIER
2025,2,IS REY,231,IS RFJ,253,25G1,20.0,SHIPPER,,1,False,IS RFJ,k122_25G1_20_SHIPPER
2025,2,IS REY,264,NL RTM,331,42G1,40.0,LEASED,ONEWAY,1,False,NL RTM,k123_42G1_40_LEASED
2025,2,IS REY,264,NL RTM,331,45G1,40.0,LEASED,ONEWAY,1,False,NL RTM,k126_45G1_40_LEASED
2025,2,IS REY,236,NO FRK,392,22G1,20.0,LEASED,MASTER,1,False,NO FRK,k127_22G1_20_LEASED
2025,2,IS REY,236,NO FRK,392,42P3,40.0,LEASED,PURCHASE,1,False,NO FRK,k128_42P3_40_LEASED
2025,2,IS REY,231,SE HEL,391,45G1,40.0,CARRIER,LONG,19,False,SE HEL,k129_45G1_40_CARRIER
2025,2,IS REY,231,SE HEL,391,4EG1,40.0,LEASED,MASTER,1,False,SE HEL,k130_4EG1_40_LEASED
2025,2,IS REY,231,SE HEL,391,42G1,40.0,LEASED,PURCHASE,2,False,SE HEL,k131_42G1_40_LEASED
2025,2,IS REY,253,US PWM,415,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,US PWM,k132_45G1_40_CARRIER
2025,2,IS REY,253,US PWM,415,45G1,40.0,CARRIER,CABOTAGE,1,False,US PWM,k133_45G1_40_CARRIER
2025,2,IS REY,253,US PWM,415,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,US PWM,k134_45R1_40_CARRIER
2025,2,IS REY,253,US PWM,415,45R1,40.0,CARRIER,LONG,1,False,US PWM,k135_45R1_40_CARRIER
2025,2,IS RFJ,259,DE BRV,334,LNRB,45.0,LEASED,PURCHASE,1,False,DE BRV,k136_LNRB_45_LEASED
2025,2,IS RFJ,259,DK AAR,413,45R1,40.0,LEASED,ONEWAY,1,False,DK AAR,k137_45R1_40_LEASED
2025,2,IS RFJ,259,GB IMM,329,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,GB IMM,k138_45R1_40_CARRIER
2025,2,IS RFJ,259,IS REY,370,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,2,False,IS REY,k139_45R1_40_CARRIER
2025,2,IS RFJ,259,FO THO,276,45R1,40.0,CARRIER,LONG,1,False,FO THO,k140_45R1_40_CARRIER
2025,2,IS REY,430,NL RTM,499,45R1,40.0,CARRIER,LONG,1,False,NL RTM,k141_45R1_40_CARRIER
2025,2,IS VES,250,IS REY,370,22G1,20.0,LEASED,ONEWAY,1,False,IS REY,k142_22G1_20_LEASED
2025,2,NL RTM,232,IS GRT,368,22GB,20.0,CARRIER,LONG,1,False,IS GRT,k143_22GB_20_CARRIER
2025,2,NL RTM,232,IS GRT,368,22G1,20.0,LEASED,MASTER,1,False,IS GRT,k144_22G1_20_LEASED
2025,2,NL RTM,232,IS GRT,368,42P3,40.0,LEASED,MASTER,1,False,IS GRT,k145_42P3_40_LEASED
2025,2,NL RTM,232,IS GRT,368,22G1,20.0,LEASED,MASTER,1,False,IS GRT,k146_22G1_20_LEASED
2025,2,NL RTM,232,IS GRT,368,22G1,20.0,LEASED,PURCHASE,1,False,IS GRT,k147_22G1_20_LEASED
2025,2,NL RTM,232,IS REY,325,45P3,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k148_45P3_40_CARRIER
2025,2,NL RTM,232,US PWM,538,45G1,40.0,CARRIER,LONG,4,False,US PWM,k149_45G1_40_CARRIER
2025,2,NL RTM,232,CA HAL,632,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,CA HAL,k150_45R1_40_CARRIER
2025,2,NL RTM,232,IS REY,325,45RB,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k151_45RB_40_CARRIER
2025,2,NL RTM,232,IS REY,325,45G1,40.0,LEASED,ONEWAY,4,False,IS REY,k152_45G1_40_LEASED
2025,2,SE HEL,243,IS REY,342,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k153_45G1_40_CARRIER
2025,2,SE HEL,243,IS REY,342,45G1,40.0,CARRIER,LONG,1,False,IS REY,k154_45G1_40_CARRIER
2025,2,SE HEL,243,IS REY,342,4EG1,40.0,CARRIER,LONG,1,False,IS REY,k155_4EG1_40_CARRIER
2025,3,CA HAL,502,IS REY,702,42P3,40.0,CARRIER,LONG,1,False,IS REY,k156_42P3_40_CARRIER
2025,3,CA HAL,502,IS REY,702,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,2,True,NL RTM,k157_45R1_40_CARRIER
2025,3,CA HAL,502,IS REY,702,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,DK AAR,k158_45R1_40_CARRIER
2025,3,CA HAL,502,IS REY,702,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,IS RFJ,k159_45R1_40_CARRIER
2025,3,CA HAL,502,IS REY,702,45R1,40.0,CARRIER,LONG,1,True,GB IMM,k160_45R1_40_CARRIER
2025,3,CA HAL,502,IS REY,702,45R1,40.0,CARRIER,LONG,1,True,DE BRV,k161_45R1_40_CARRIER
2025,3,CA HAL,502,IS REY,702,45R1,40.0,CARRIER,LONG,1,True,DK AAR,k162_45R1_40_CARRIER
2025,3,CA HAL,502,IS REY,702,45R1,40.0,CARRIER,LONG,1,True,IS RFJ,k163_45R1_40_CARRIER
2025,3,DE BRV,353,IS REY,508,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,2,True,US PWM,k164_45G1_40_CARRIER
2025,3,DE BRV,353,IS REY,508,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k165_45G1_40_CARRIER
2025,3,DE BRV,353,IS REY,508,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,True,US PWM,k166_45G1_40_CARRIER
2025,3,DE BRV,353,IS REY,508,45G1,40.0,CARRIER,CABOTAGE,1,True,US PWM,k167_45G1_40_CARRIER
2025,3,DE BRV,353,IS REY,508,42P3,40.0,CARRIER,LONG,1,False,IS REY,k168_42P3_40_CARRIER
